Chidamber-Kemerer metrics,Wed, 13 May 2020 14:56:17 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.gui.groups.UndoableChangeEntriesOfGroup",12,0,1,0,9,4
"net.sf.jabref.gui.groups.UndoableModifyGroup",8,1,2,0,11,4
"net.sf.jabref.gui.groups.UndoableModifySubtree",8,1,2,0,11,7
"net.sf.jabref.gui.groups.UndoableMoveGroup",7,1,2,0,14,4
"net.sf.jabref.gui.groups.WarnAssignmentSideEffects",9,0,2,0,5,9
"net.sf.jabref.gui.help.AboutAction",3,1,1,0,4,2
"net.sf.jabref.gui.help.AboutDialog",6,0,1,0,7,2
"net.sf.jabref.gui.help.HelpAction",31,1,2,0,17,11
"net.sf.jabref.gui.help.NewVersionDialog",6,0,0,0,7,2
"net.sf.jabref.gui.importer.EntryFromExternalFileCreator",4,1,1,0,8,5
"net.sf.jabref.gui.importer.EntryFromFileCreator",15,0,3,2,27,24
"net.sf.jabref.gui.importer.EntryFromFileCreatorManager",14,0,1,0,21,30
"net.sf.jabref.gui.importer.EntryFromPDFCreator",16,1,4,0,28,14
"net.sf.jabref.gui.importer.FetcherPreviewDialog",13,0,5,0,27,16
"net.sf.jabref.gui.importer.FetcherPreviewDialog.EntryTable",3,0,4,0,10,7
"net.sf.jabref.gui.importer.FetcherPreviewDialog.EntryTableFormat",3,0,3,0,6,6
"net.sf.jabref.gui.importer.FetcherPreviewDialog.PreviewRenderer",1,0,1,0,1,1
"net.sf.jabref.gui.importer.FetcherPreviewDialog.TableEntry",3,0,2,0,4,4
"net.sf.jabref.gui.importer.ImportCustomizationDialog",21,0,3,0,39,14
"net.sf.jabref.gui.importer.ImportCustomizationDialog.ImportTableModel",6,0,2,0,10,9
"net.sf.jabref.gui.importer.ImportFileFilter",3,0,2,0,10,9
"net.sf.jabref.gui.importer.ImportFormats",14,0,1,0,3,5
"net.sf.jabref.gui.importer.ImportInspectionDialog",48,0,6,0,91,50
"net.sf.jabref.gui.importer.ImportInspectionDialog.AddToGroupAction",3,0,1,0,8,4
"net.sf.jabref.gui.importer.ImportInspectionDialog.AttachUrl",4,0,1,0,11,5
"net.sf.jabref.gui.importer.ImportInspectionDialog.AutoSetLinks",7,0,1,0,15,6
"net.sf.jabref.gui.importer.ImportInspectionDialog.CallBack",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.gui.importer.ImportInspectionDialog.DeleteListener",5,0,1,0,10,5
"net.sf.jabref.gui.importer.ImportInspectionDialog.DownloadFile",8,0,1,0,19,6
"net.sf.jabref.gui.importer.ImportInspectionDialog.EntrySelectionListener",3,0,1,0,3,2
"net.sf.jabref.gui.importer.ImportInspectionDialog.EntryTable",3,0,4,0,12,8
"net.sf.jabref.gui.importer.ImportInspectionDialog.EntryTableFormat",10,0,1,0,13,17
"net.sf.jabref.gui.importer.ImportInspectionDialog.LinkLocalFile",8,0,1,0,18,5
"net.sf.jabref.gui.importer.ImportInspectionDialog.OkListener",23,0,1,0,44,33
"net.sf.jabref.gui.importer.ImportInspectionDialog.SelectionButton",1,0,1,0,2,3
"net.sf.jabref.gui.importer.ImportInspectionDialog.TableClickListener",13,0,3,0,34,31
"net.sf.jabref.gui.importer.ImportMenuItem",20,0,3,0,26,16
"net.sf.jabref.gui.importer.ImportMenuItem.MyWorker",15,1,1,0,27,14
"net.sf.jabref.gui.importer.ParserResultWarningDialog",7,0,1,0,7,7
"net.sf.jabref.gui.importer.UnlinkedFilesCrawler",5,0,1,0,7,11
"net.sf.jabref.gui.importer.UnlinkedPDFFileFilter",4,0,1,0,4,2
"net.sf.jabref.gui.importer.ZipFileChooser",7,0,2,0,21,7
