Chidamber-Kemerer metrics,Mon, 18 May 2020 19:36:03 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.gui.SaveOrderConfigDisplay,7,14,0,1,59,0,1,0.43,16,7
net.sf.jabref.gui.SidePane,2,9,0,2,16,0,1.4,0.4,6,7
net.sf.jabref.gui.SidePaneComponent,22,76,2,6,n/a,4,1,0.4,21,9
net.sf.jabref.gui.SidePaneManager,14,26,0,1,42,0,1.95,0.85,36,39
net.sf.jabref.gui.SidePaneManager.PreferredIndexSort,2,3,0,1,7,0,1,1,4,2
net.sf.jabref.gui.StringDialog,25,14,0,3,5,0,1.5,0.67,29,12
net.sf.jabref.gui.StringDialog.CloseAction,3,2,0,1,5,0,1,0.5,4,2
net.sf.jabref.gui.StringDialog.NewStringAction,11,3,0,1,28,0,3,1,14,6
net.sf.jabref.gui.StringDialog.RedoAction,6,2,0,1,5,0,1,0.5,5,2
net.sf.jabref.gui.StringDialog.RemoveStringAction,10,3,0,1,21,0,3.5,1,12,7
net.sf.jabref.gui.StringDialog.SaveDatabaseAction,4,3,0,1,5,0,1,1,5,2
net.sf.jabref.gui.StringDialog.StringTable,6,3,0,1,26,0,1,0.5,5,2
net.sf.jabref.gui.StringDialog.StringTableModel,9,9,0,4,42,0,2.29,1.43,21,16
net.sf.jabref.gui.StringDialog.UndoAction,6,2,0,1,5,0,1,0.5,5,2
net.sf.jabref.gui.TransferableBibtexEntry,8,6,0,1,10,0,1.75,0.75,8,7
net.sf.jabref.gui.UrlDragDrop,10,10,0,5,51,0,1.83,1.33,21,11
net.sf.jabref.gui.UrlDragDrop.JOptionChoice,1,5,0,1,0,0,1,0.67,3,3
net.sf.jabref.gui.WaitForSaveOperation,3,8,0,2,29,0,1.75,0.5,10,7
net.sf.jabref.gui.WrapLayout,2,7,0,1,22,0,2.29,1.57,7,16
net.sf.jabref.gui.actions.Actions,17,59,0,0,0,0,n/a,0,0,0
net.sf.jabref.gui.actions.AutoLinkFilesAction,14,2,0,1,41,0,2.5,0.5,20,5
net.sf.jabref.gui.actions.BaseAction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.gui.actions.BrowseAction,9,13,0,6,12,0,1.38,1.88,12,11
net.sf.jabref.gui.actions.ChangeTypeAction,3,4,0,1,4,0,1,1.5,4,2
net.sf.jabref.gui.actions.CleanupAction,16,20,1,1,55,0,3.67,1,34,22
net.sf.jabref.gui.actions.CopyAction,5,3,0,1,14,0,2.5,1,6,5
net.sf.jabref.gui.actions.CopyVersionToClipboardAction,7,1,0,1,6,0,1,1,6,1
net.sf.jabref.gui.actions.ErrorConsoleAction,4,8,0,1,24,0,1.2,2.4,10,6
net.sf.jabref.gui.actions.IntegrityCheckAction,9,7,1,1,47,0,2.5,1,15,5
net.sf.jabref.gui.actions.ManageKeywordsAction,24,18,1,1,196,0,3.07,1.12,46,46
net.sf.jabref.gui.actions.MassSetFieldAction,13,22,1,1,157,0,3.62,1.71,37,29
net.sf.jabref.gui.actions.MnemonicAwareAction,34,3,0,1,n/a,33,2,1,4,6
net.sf.jabref.gui.actions.NewDatabaseAction,8,7,1,1,13,0,1,1.5,13,2
net.sf.jabref.gui.actions.NewEntryAction,11,10,1,1,26,0,1.75,2,21,7
net.sf.jabref.gui.actions.NewSubDatabaseAction,12,6,1,1,16,0,1.5,1,18,3
net.sf.jabref.gui.actions.OpenBrowserAction,2,4,0,1,6,0,1,3,4,3
net.sf.jabref.gui.actions.PasteAction,8,3,0,1,12,0,2,1,7,4
net.sf.jabref.gui.actions.SearchForUpdateAction,3,2,0,1,3,0,1,0.5,4,2
